"geoid","msa","name","pop","pop_child","pop_inst","house","house_fam","house_fam_child","house_child","house_senior","house_size","house_fam_size","units","units_occ","units_vac","units_vac_rent","units_sale","units_sold","units_vac_vacation","units_vac_other","units_occ_own","units_occ_own_pop","units_occ_own_size","units_occ_rent","units_occ_rent_pop","units_occ_rent_size"
"310M100US10020",10020,"Abbeville, LA  Micro Area",57999,18162,442,21889,15469,7102,8116,5322,2.63,3.12,25235,21889,3346,461,215,71,1044,1521,16639,44310,2.66,5250,13153,2.51
"310M100US10100",10100,"Aberdeen, SD  Micro Area",40602,10339,577,17096,10431,4548,4816,4535,2.27,2.89,18672,17096,1576,370,161,49,387,564,11585,28608,2.47,5511,10209,1.85
"310M100US10140",10140,"Aberdeen, WA  Micro Area",72797,18151,2477,28579,18493,7102,8242,8634,2.45,2.94,35166,28579,6587,985,705,162,3380,1274,19376,47250,2.44,9203,22816,2.48
"310M100US10180",10180,"Abilene, TX  Metro Area",165252,43485,5988,62206,41575,18012,20559,15896,2.49,3.02,69721,62206,7515,2467,806,328,838,2942,40042,101812,2.54,22164,53071,2.39
"310M100US10220",10220,"Ada, OK  Micro Area",37492,9873,378,14654,9698,4085,4649,3988,2.44,2.99,16595,14654,1941,641,260,82,143,793,9758,24486,2.51,4896,11310,2.31
"310M100US10260",10260,"Adjuntas, PR  Micro Area",19483,7295,57,6851,5333,2367,2708,1979,2.83,3.27,8125,6851,1274,229,37,40,327,626,4620,13038,2.82,2231,6383,2.86
"310M100US10300",10300,"Adrian, MI  Micro Area",99892,27827,3166,37514,26266,10891,12094,10069,2.52,3,43452,37514,5938,1144,803,197,2414,1344,29068,74554,2.56,8446,19942,2.36
"310M100US10380",10380,"Aguadilla-Isabela-San Sebasti�n, PR  Metro Area",306292,104757,1641,114281,85652,36495,41560,33383,2.66,3.13,138855,114281,24574,3771,2100,824,7486,10110,83495,223095,2.67,30786,80921,2.63
"310M100US10420",10420,"Akron, OH  Metro Area",703200,195365,5784,285003,181867,76801,84816,72294,2.4,2.98,312581,285003,27578,9746,4683,967,1876,9763,194613,488452,2.51,90390,196867,2.18
"310M100US10460",10460,"Alamogordo, NM  Micro Area",63797,17721,1636,24464,16641,7072,8152,6801,2.51,3.05,30992,24464,6528,858,408,90,3279,1839,16580,41590,2.51,7884,19901,2.52
"310M100US10500",10500,"Albany, GA  Metro Area",157308,47390,2600,59319,40536,17889,21327,14004,2.56,3.1,66060,59319,6741,2819,891,163,600,2112,34058,86577,2.54,25261,65153,2.58
"310M100US10540",10540,"Albany-Lebanon, OR  Micro Area",116672,32177,671,45204,30976,12752,14503,12830,2.55,3.01,48821,45204,3617,1118,755,158,440,1097,29427,75647,2.57,15777,39798,2.52
"310M100US10580",10580,"Albany-Schenectady-Troy, NY  Metro Area",870716,232277,7552,355301,217938,95402,103287,88983,2.36,2.96,393297,355301,37996,9705,3920,1016,11989,10732,228741,579806,2.53,126560,258339,2.04
"310M100US10620",10620,"Albemarle, NC  Micro Area",60585,16658,1344,23589,16585,6643,7536,6717,2.48,2.97,27110,23589,3521,895,387,108,815,1286,17141,42513,2.48,6448,16021,2.48
"310M100US10660",10660,"Albert Lea, MN  Micro Area",31255,7998,470,13177,8555,3249,3542,4278,2.32,2.85,14231,13177,1054,272,230,38,108,380,10089,24130,2.39,3088,6488,2.1
"310M100US10700",10700,"Albertville, AL  Micro Area",93019,26242,895,35810,25328,10833,12438,10066,2.57,3.05,40342,35810,4532,994,661,177,1126,1521,25318,64506,2.55,10492,27466,2.62
"310M100US10740",10740,"Albuquerque, NM  Metro Area",887077,253753,8439,347366,222811,101084,115050,80226,2.51,3.1,374404,347366,27038,8695,4969,786,3705,8403,233579,606577,2.6,113787,265650,2.33
"310M100US10760",10760,"Alexander City, AL  Micro Area",53155,14012,645,21779,15055,5451,6563,6572,2.41,2.9,28589,21779,6810,775,508,129,3824,1536,16176,38917,2.41,5603,13538,2.42
"310M100US10780",10780,"Alexandria, LA  Metro Area",153922,44736,5714,57897,39832,17731,20760,15015,2.53,3.06,64570,57897,6673,1746,645,259,1113,2817,38960,99126,2.54,18937,47358,2.5
"310M100US10820",10820,"Alexandria, MN  Micro Area",36009,9114,377,15289,10012,3841,4066,4719,2.32,2.82,19905,15289,4616,271,244,44,3739,283,11606,28480,2.45,3683,7007,1.9
