"State","Center-Infant","Center-4-Year-Old","Center-School-Age","Family-Infant","Family-4-Year-Old","Family-School-Age"
"Alabama","$5,350 ","$5,650 ","$5,050 ","$4,650 ","$4,750 ","$5,500 "
"Alaska","$9,450 ","$7,650 ","$4,450 ","$7,500 ","$6,250 ","$3,500 "
"Arizona","$9,250 ","$7,350 ","$5,750 ","$6,550 ","$6,200 ","$6,100 "
"Arkansas","$5,400 ","$4,650 ","$3,900 ","$4,500 ","$4,100 ","$4,150 "
"California","$11,300 ","$7,850 ","$2,600 ","$6,850 ","$6,600 ","$2,900 "
"Colorado","$12,400 ","$9,000 ","$5,300 ","$8,400 ","$7,750 ","$4,200 "
"Connecticut","$12,650 ","$10,350 ","$5,250 ","$9,400 ","$8,950 ","$4,300 "
"Delaware","$9,550 ","$7,300 ","$4,050 ","$6,950 ","$6,150 ","$5,150 "
"District of Columbia","$18,200 ","$14,050 ","NR","$11,700 ","$8,050 ","NR"
"Florida","$7,950 ","$6,350 ","$3,600 ","$7,150 ","$6,050 ","$3,850 "
"Georgia","$7,200 ","$6,100 ","$3,200 ","$5,400 ","$5,000 ","$2,600 "
"Hawaii","$12,600 ","$7,300 ","$6,900 ","$7,350 ","$7,300 ","$7,250 "
"Idaho","$6,200 ","$5,400 ","$4,650 ","$5,400 ","$5,050 ","$4,700 "
"Illinois","$11,800 ","$8,700 ","$5,600 ","$7,150 ","$6,600 ","$4,200 "
"Indiana","$9,200 ","$7,000 ","$4,400 ","$5,900 ","$4,950 ","$4,400 "
"Iowa","$8,600 ","$7,300 ","$5,800 ","$6,500 ","$6,250 ","$5,350 "
"Kansas","$9,950 ","$7,100 ","$4,350 ","$6,250 ","$5,450 ","$3,200 "
"Kentucky","$6,500 ","$6,750 ","$5,800 ","$6,250 ","$5,200 ","$3,650 "
"Louisiana","$5,900 ","$4,400 ","$2,450 ","NR","$4,350 ","$3,100 "
"Maine","$9,050 ","$7,650 ","$4,700 ","$6,700 ","NR","$3,850 "
"Maryland","$12,400 ","$8,700 ","$5,000 ","$8,850 ","$7,450 ","$4,450 "
"Massachusetts","$16,500 ","$12,200 ","NR","$12,100 ","$11,300 ","NR"
"Michigan","$8,900 ","$7,350 ","$3,100 ","$6,450 ","$6,250 ","$3,400 "
"Minnesota","$12,900 ","$9,900 ","NR","$7,350 ","$6,600 ","NR"
"Mississippi","$4,650 ","$3,900 ","$3,400 ","$3,850 ","$3,600 ","NR"
"Missouri","$8,550 ","$5,950 ","$4,750 ","$5,500 ","$4,800 ","$3,950 "
"Montana","$9,100 ","$7,800 ","$5,700 ","$7,000 ","$6,500 ","$5,200 "
"Nebraska","$7,950 ","$6,850 ","$5,900 ","$6,300 ","$5,650 ","$5,450 "
"Nevada","$9,400 ","$7,650 ","$4,550 ","$8,000 ","NR","$3,650 "
"New Hampshire","$10,900 ","$8,750 ","$5,900 ","$8,200 ","$7,500 ","$5,950 "
"New Jersey","$11,200 ","$9,250 ","$5,100 ","$8,200 ","$7,050 ","$4,950 "
"New Mexico","$7,300 ","$6,600 ","NR","$6,150 ","$5,600 ","NR"
"New York","$13,650 ","$10,550 ","$10,400 ","$10,200 ","$9,450 ","$9,000 "
"North Carolina","$8,500 ","$7,250 ","NR","$6,600 ","$5,750 ","NR"
"North Dakota","$7,500 ","$6,650 ","NR","$6,100 ","$5,750 ","NR"
"Ohio","$7,750 ","$5,900 ","$4,700 ","$6,500 ","$5,800 ","$4,750 "
"Oklahoma","$7,100 ","$5,200 ","$4,400 ","$5,750 ","$4,950 ","$4,400 "
"Oregon","$10,750 ","$8,300 ","$4,000 ","$6,000 ","$5,400 ","$4,500 "
"Pennsylvania","$11,300 ","$7,000 ","NR","$8,050 ","$5,700 ","NR"
"Rhode Island","$11,400 ","$9,100 ","$6,700 ","$8,700 ","$8,300 ","$6,200 "
"South Carolina","$5,850 ","$5,450 ","$3,000 ","$4,550 ","$4,100 ","$2,300 "
"South Dakota","$5,750 ","$5,500 ","$3,550 ","$5,050 ","$4,900 ","$3,250 "
"Tennessee","$5,850 ","$4,500 ","$2,450 ","$4,750 ","$4,050 ","$2,500 "
"Texas","$7,850 ","$6,600 ","$3,950 ","$6,450 ","$5,350 ","$3,250 "
"Utah","$7,800 ","$5,800 ","$3,850 ","$5,750 ","$5,000 ","$3,450 "
"Vermont","$9,300 ","$8,500 ","$4,650 ","$7,200 ","$6,700 ","$3,900 "
"Virginia","$8,800 ","$6,650 ","$5,600 ","$6,800 ","$5,650 ","$4,750 "
"Washington","$11,450 ","$8,600 ","$4,650 ","$8,650 ","$7,200 ","$3,800 "
"West Virginia","$6,950 ","$5,800 ","NR","$5,350 ","$5,150 ","NR"
"Wisconsin","$10,500 ","$9,050 ","$8,200 ","$8,550 ","$7,650 ","$7,150 "
"Wyoming","$8,150 ","$7,050 ","$3,100 ","$6,800 ","$6,250 ","$2,850 "
